node_id,zone_id,x_coord,y_coord,meso_link_id,lane_no,is_boundary
0,,-111.9261189,33.4219815,0,1,
1,,-111.9260434,33.4219816,0,1,
2,,-111.9259679,33.4219817,0,1,
3,,-111.9258924,33.4219817,0,1,
4,,-111.9258169,33.4219818,0,1,
5,,-111.9257414,33.4219819,0,1,
6,,-111.9256659,33.4219819,0,1,
7,,-111.9255904,33.421982,0,1,
8,,-111.9255149,33.421982,0,1,
9,,-111.9254394,33.4219821,0,1,
10,,-111.9253639,33.4219822,0,1,
11,,-111.9252884,33.4219822,0,1,
12,,-111.9252129,33.4219823,0,1,
13,,-111.9251374,33.4219823,0,1,
14,,-111.9250619,33.4219824,0,1,
15,,-111.9249863,33.4219825,0,1,
16,,-111.9249108,33.4219825,0,1,
17,,-111.9248353,33.4219826,0,1,
18,,-111.9247598,33.4219826,0,1,
19,,-111.9246843,33.4219827,0,1,
20,,-111.9246088,33.4219828,0,1,
21,,-111.9245333,33.4219828,0,1,
22,,-111.9244578,33.4219829,0,1,
23,,-111.9243823,33.4219829,0,1,
24,,-111.9243068,33.421983,0,1,
25,,-111.9242313,33.4219831,0,1,
26,,-111.9241558,33.4219831,0,1,
27,,-111.9240803,33.4219832,0,1,
28,,-111.9240048,33.4219832,0,1,
29,,-111.9239293,33.4219833,0,1,
30,,-111.9238538,33.4219834,0,1,
31,,-111.9237783,33.4219834,0,1,
32,,-111.9237028,33.4219835,0,1,
33,,-111.9236273,33.4219835,0,1,
34,,-111.9235518,33.4219836,0,1,
35,,-111.9234763,33.4219837,0,1,
36,,-111.9234008,33.4219837,0,1,
37,,-111.9233253,33.4219838,0,1,
38,,-111.9232498,33.4219838,0,1,
39,,-111.9231743,33.4219839,0,1,
40,,-111.9230987,33.421984,0,1,
41,,-111.9230232,33.421984,0,1,
42,,-111.9229477,33.4219841,0,1,
43,,-111.9228722,33.4219841,0,1,
44,,-111.9227967,33.4219842,0,1,
45,,-111.9227212,33.4219842,0,1,
46,,-111.9226457,33.4219843,0,1,
47,,-111.9225702,33.4219844,0,1,
48,,-111.9224947,33.4219844,0,1,
49,,-111.9224192,33.4219845,0,1,
50,,-111.9223437,33.4219845,0,1,
51,,-111.9222682,33.4219846,0,1,
52,,-111.9221927,33.4219847,0,1,
53,,-111.9221172,33.4219847,0,1,
54,,-111.9220417,33.4219848,0,1,
55,,-111.9219662,33.4219848,0,1,
56,,-111.9218907,33.4219849,0,1,
57,,-111.9218152,33.421985,0,1,
58,,-111.9217397,33.421985,0,1,
59,,-111.9216642,33.4219851,0,1,
60,,-111.9215887,33.4219851,0,1,
61,,-111.9215132,33.4219852,0,1,
62,,-111.9214377,33.4219852,0,1,
63,,-111.9213622,33.4219853,0,1,
64,,-111.9212867,33.4219854,0,1,
65,,-111.9212111,33.4219854,0,1,
66,,-111.9211356,33.4219855,0,1,
67,,-111.9210601,33.4219855,0,1,
68,,-111.9209846,33.4219856,0,1,
69,,-111.9209091,33.4219856,0,1,
70,,-111.9208336,33.4219857,0,1,
71,,-111.9207581,33.4219858,0,1,
72,,-111.9206826,33.4219858,0,1,
73,,-111.9206071,33.4219859,0,1,
74,,-111.9205316,33.4219859,0,1,
75,,-111.9204561,33.421986,0,1,
76,,-111.9203806,33.4219861,0,1,
77,,-111.9203051,33.4219861,0,1,
78,,-111.9202296,33.4219862,0,1,
79,,-111.9201541,33.4219862,0,1,
80,,-111.9200786,33.4219863,0,1,
81,1,-111.9200031,33.4219863,0,1,
82,,-111.9261189,33.42195,0,2,
83,,-111.9260434,33.42195,0,2,
84,,-111.9259679,33.4219501,0,2,
85,,-111.9258924,33.4219502,0,2,
86,,-111.9258169,33.4219502,0,2,
87,,-111.9257414,33.4219503,0,2,
88,,-111.9256658,33.4219503,0,2,
89,,-111.9255903,33.4219504,0,2,
90,,-111.9255148,33.4219505,0,2,
91,,-111.9254393,33.4219505,0,2,
92,,-111.9253638,33.4219506,0,2,
93,,-111.9252883,33.4219506,0,2,
94,,-111.9252128,33.4219507,0,2,
95,,-111.9251373,33.4219508,0,2,
96,,-111.9250618,33.4219508,0,2,
97,,-111.9249863,33.4219509,0,2,
98,,-111.9249108,33.4219509,0,2,
99,,-111.9248353,33.421951,0,2,
100,,-111.9247598,33.4219511,0,2,
101,,-111.9246843,33.4219511,0,2,
102,,-111.9246088,33.4219512,0,2,
103,,-111.9245333,33.4219512,0,2,
104,,-111.9244578,33.4219513,0,2,
105,,-111.9243823,33.4219514,0,2,
106,,-111.9243068,33.4219514,0,2,
107,,-111.9242313,33.4219515,0,2,
108,,-111.9241558,33.4219515,0,2,
109,,-111.9240803,33.4219516,0,2,
110,,-111.9240048,33.4219517,0,2,
111,,-111.9239293,33.4219517,0,2,
112,,-111.9238538,33.4219518,0,2,
113,,-111.9237782,33.4219518,0,2,
114,,-111.9237027,33.4219519,0,2,
115,,-111.9236272,33.421952,0,2,
116,,-111.9235517,33.421952,0,2,
117,,-111.9234762,33.4219521,0,2,
118,,-111.9234007,33.4219521,0,2,
119,,-111.9233252,33.4219522,0,2,
120,,-111.9232497,33.4219523,0,2,
121,,-111.9231742,33.4219523,0,2,
122,,-111.9230987,33.4219524,0,2,
123,,-111.9230232,33.4219524,0,2,
124,,-111.9229477,33.4219525,0,2,
125,,-111.9228722,33.4219526,0,2,
126,,-111.9227967,33.4219526,0,2,
127,,-111.9227212,33.4219527,0,2,
128,,-111.9226457,33.4219527,0,2,
129,,-111.9225702,33.4219528,0,2,
130,,-111.9224947,33.4219529,0,2,
131,,-111.9224192,33.4219529,0,2,
132,,-111.9223437,33.421953,0,2,
133,,-111.9222682,33.421953,0,2,
134,,-111.9221927,33.4219531,0,2,
135,,-111.9221172,33.4219531,0,2,
136,,-111.9220417,33.4219532,0,2,
137,,-111.9219662,33.4219533,0,2,
138,,-111.9218906,33.4219533,0,2,
139,,-111.9218151,33.4219534,0,2,
140,,-111.9217396,33.4219534,0,2,
141,,-111.9216641,33.4219535,0,2,
142,,-111.9215886,33.4219536,0,2,
143,,-111.9215131,33.4219536,0,2,
144,,-111.9214376,33.4219537,0,2,
145,,-111.9213621,33.4219537,0,2,
146,,-111.9212866,33.4219538,0,2,
147,,-111.9212111,33.4219538,0,2,
148,,-111.9211356,33.4219539,0,2,
149,,-111.9210601,33.421954,0,2,
150,,-111.9209846,33.421954,0,2,
151,,-111.9209091,33.4219541,0,2,
152,,-111.9208336,33.4219541,0,2,
153,,-111.9207581,33.4219542,0,2,
154,,-111.9206826,33.4219543,0,2,
155,,-111.9206071,33.4219543,0,2,
156,,-111.9205316,33.4219544,0,2,
157,,-111.9204561,33.4219544,0,2,
158,,-111.9203806,33.4219545,0,2,
159,,-111.9203051,33.4219545,0,2,
160,,-111.9202296,33.4219546,0,2,
161,,-111.9201541,33.4219547,0,2,
162,,-111.9200786,33.4219547,0,2,
163,1,-111.920003,33.4219548,0,2,
164,,-111.9261188,33.4219184,0,3,
165,,-111.9260433,33.4219185,0,3,
166,,-111.9259678,33.4219185,0,3,
167,,-111.9258923,33.4219186,0,3,
168,,-111.9258168,33.4219187,0,3,
169,,-111.9257413,33.4219187,0,3,
170,,-111.9256658,33.4219188,0,3,
171,,-111.9255903,33.4219188,0,3,
172,,-111.9255148,33.4219189,0,3,
173,,-111.9254393,33.421919,0,3,
174,,-111.9253638,33.421919,0,3,
175,,-111.9252883,33.4219191,0,3,
176,,-111.9252128,33.4219191,0,3,
177,,-111.9251373,33.4219192,0,3,
178,,-111.9250618,33.4219193,0,3,
179,,-111.9249863,33.4219193,0,3,
